;Tweets
90;@starlightclairo  Halo, Kak Renata. Paket yang ada Disney+ ya. hmm. Yuk interaksi dilanjut ke DM, Gea kasih tau pak… https://t.co/PspBdxG0W3
91;@Dedi_Novendi Halo, Kak Deddy. Maaf ya. Mengenai mendapat Spam Call. Gea bantu cek kendalanya ya, yuk infoin No.HP,… https://t.co/ASoojFPnlD
92;@rutotelkomsel Baik, Kak, Maaf untuk keterlambatan Gea bales DMnya. Mohon berkenan menunggu ya Kak. Makasih 😊-Gea
93;@sanchoo9779  Malam-malam main catur, Gea segera meluncur. 😊-Gea
94;@Amin7821527955  Si maya ga suka diatur, mimin segera meluncur 😊-Gea
95;@KaDRuN_ToL0L Aduh, Maaf ya Kak jadi gak nyaman. Mengenai benefit paket, Gea bantu carikan paket yang cocok buat Ka… https://t.co/8EBm6AxPMH
96;@kecroh Pak lurah makan kue cucur. Gea segera meluncur 😊-Gea
97;@rutotelkomsel Makan buah sambil lembur. Mohon menunggu Gea segera meluncur. 😊-Gea
98;@pejuangkhilaf Hai, Kak. Maafin ya. Boleh ceritain detail kendala yang kakak alami? Gea siap bantu loh, atau Kakak… https://t.co/UGD32FwDwC
99;@pejuangkhilaf Masa sih mahal Kak? Coba kasih tau nomor HP yang digunakan via DM biar dibantuin cek paket promo yan… https://t.co/PWkF8lesC1
