;Unnamed: 0;Tweets;langkah01;token;token_akhir;langkah02
20;20;@kemarinnsore Oke, Kak Ra. Arel senang jika informasinya membantu, tetap setia menggunakan Telkomsel ya. Sehat selalu😉 -Arel;oke kak ra arel senang jika informasinya membantu tetap setia menggunakan telkomsel ya sehat selalu arel;['oke', 'kak', 'ra', 'arel', 'senang', 'jika', 'informasinya', 'membantu', 'tetap', 'setia', 'menggunakan', 'telkomsel', 'ya', 'sehat', 'selalu', 'arel'];['oke', 'kak', 'ra', 'arel', 'senang', 'jika', 'informasinya', 'membantu', 'tetap', 'setia', 'menggunakan', 'telkomsel', 'ya', 'sehat', 'selalu', 'arel'];oke kak ra arel senang jika informasinya membantu tetap setia menggunakan telkomsel ya sehat selalu arel
21;21;@vachirait Hai, Kak Celi. Arel infoin, saat ini ada penyesuaian masa aktif. Masa aktif akan bertambah terhitung dar… https://t.co/GaSohlXhwa;hai kak celi arel infoin saat ini ada penyesuaian masa aktif masa aktif akan bertambah terhitung dar;['hai', 'kak', 'celi', 'arel', 'infoin', 'saat', 'ini', 'ada', 'penyesuaian', 'masa', 'aktif', 'masa', 'aktif', 'akan', 'bertambah', 'terhitung', 'dar'];['hai', 'kak', 'celi', 'arel', 'infoin', 'saat', 'ini', 'ada', 'penyesuaian', 'masa', 'aktif', 'masa', 'aktif', 'akan', 'bertambah', 'terhitung', 'dar'];hai kak celi arel infoin saat ini ada penyesuaian masa aktif masa aktif akan bertambah terhitung dar
22;22;@r4ndomthing Baik, Kak. Mohon berkenan menunggu interaksi selanjutnya via DM ya. Makasih😊 -Arel;baik kak mohon berkenan menunggu interaksi selanjutnya via dm ya makasih arel;['baik', 'kak', 'mohon', 'berkenan', 'menunggu', 'interaksi', 'selanjutnya', 'via', 'dm', 'ya', 'makasih', 'arel'];['baik', 'kak', 'mohon', 'berkenan', 'menunggu', 'interaksi', 'selanjutnya', 'via', 'dm', 'ya', 'makasih', 'arel'];baik kak mohon berkenan menunggu interaksi selanjutnya via dm ya makasih arel
23;23;@DeraOyy Baik, Kak Dera. Mohon berkenan menunggu interaksi selanjutnya di DM ya Kak. Terima kasih😊-Dofi;baik kak dera mohon berkenan menunggu interaksi selanjutnya di dm ya kak terima kasih dofi;['baik', 'kak', 'dera', 'mohon', 'berkenan', 'menunggu', 'interaksi', 'selanjutnya', 'di', 'dm', 'ya', 'kak', 'terima', 'kasih', 'dofi'];['baik', 'kak', 'dera', 'mohon', 'berkenan', 'menunggu', 'interaksi', 'selanjutnya', 'di', 'dm', 'ya', 'kak', 'terima', 'kasih', 'dofi'];baik kak dera mohon berkenan menunggu interaksi selanjutnya di dm ya kak terima kasih dofi
24;24;@DeraOyy Hai, Kak Dera. Maaf jadi ga nyaman. Mengenai kendala resgitrasi kartu Prepaid, kuy infoin Nomor HP via DM… https://t.co/yh0qtwOtl6;hai kak dera maaf jadi ga nyaman mengenai kendala resgitrasi kartu prepaid kuy infoin nomor hp via dm;['hai', 'kak', 'dera', 'maaf', 'jadi', 'ga', 'nyaman', 'mengenai', 'kendala', 'resgitrasi', 'kartu', 'prepaid', 'kuy', 'infoin', 'nomor', 'hp', 'via', 'dm'];['hai', 'kak', 'dera', 'maaf', 'jadi', 'ga', 'nyaman', 'mengenai', 'kendala', 'resgitrasi', 'kartu', 'prepaid', 'kuy', 'infoin', 'nomor', 'hp', 'via', 'dm'];hai kak dera maaf jadi ga nyaman mengenai kendala resgitrasi kartu prepaid kuy infoin nomor hp via dm
25;25;@DeraOyy Dibuat bingung ya, Kak Dera. Terkait kendala registrasi kartu. Pastiin format sudah sesuai dengan cara SMS… https://t.co/I1Tkr889w2;dibuat bingung ya kak dera terkait kendala registrasi kartu pastiin format sudah sesuai dengan cara sms;['dibuat', 'bingung', 'ya', 'kak', 'dera', 'terkait', 'kendala', 'registrasi', 'kartu', 'pastiin', 'format', 'sudah', 'sesuai', 'dengan', 'cara', 'sms'];['dibuat', 'bingung', 'ya', 'kak', 'dera', 'terkait', 'kendala', 'registrasi', 'kartu', 'pastiin', 'format', 'sudah', 'sesuai', 'dengan', 'cara', 'sms'];dibuat bingung ya kak dera terkait kendala registrasi kartu pastiin format sudah sesuai dengan cara sms
26;26;@r4ndomthing Hai, kak. Maaf ya, Kak. Untuk kendalanya, silakan konfirmasi kembali ke DM, supaya dibantu lebih lanju… https://t.co/yxkTzPByGA;hai kak maaf ya kak untuk kendalanya silakan konfirmasi kembali ke dm supaya dibantu lebih lanju;['hai', 'kak', 'maaf', 'ya', 'kak', 'untuk', 'kendalanya', 'silakan', 'konfirmasi', 'kembali', 'ke', 'dm', 'supaya', 'dibantu', 'lebih', 'lanju'];['hai', 'kak', 'maaf', 'ya', 'kak', 'untuk', 'kendalanya', 'silakan', 'konfirmasi', 'kembali', 'ke', 'dm', 'supaya', 'dibantu', 'lebih', 'lanju'];hai kak maaf ya kak untuk kendalanya silakan konfirmasi kembali ke dm supaya dibantu lebih lanju
27;27;@alananiga Selamat pagi juga Kak. Baik, Rara segera cek DM Kakak ya. Mohon ditunggu :) -Rara;selamat pagi juga kak baik rara segera cek dm kakak ya mohon ditunggu rara;['selamat', 'pagi', 'juga', 'kak', 'baik', 'rara', 'segera', 'cek', 'dm', 'kakak', 'ya', 'mohon', 'ditunggu', 'rara'];['selamat', 'pagi', 'juga', 'kak', 'baik', 'rara', 'segera', 'cek', 'dm', 'kakak', 'ya', 'mohon', 'ditunggu', 'rara'];selamat pagi juga kak baik rara segera cek dm kakak ya mohon ditunggu rara
28;28;@tobatomat Dibuat bingung ya, Kak. Terkait reaktivasi kartu. Nomor yang udah melewatkan masa tenggang bisa di-reakt… https://t.co/ZtvNdcOV6W;dibuat bingung ya kak terkait reaktivasi kartu nomor yang udah melewatkan masa tenggang bisa di reakt;['dibuat', 'bingung', 'ya', 'kak', 'terkait', 'reaktivasi', 'kartu', 'nomor', 'yang', 'udah', 'melewatkan', 'masa', 'tenggang', 'bisa', 'di', 'reakt'];['dibuat', 'bingung', 'ya', 'kak', 'terkait', 'reaktivasi', 'kartu', 'nomor', 'yang', 'udah', 'melewatkan', 'masa', 'tenggang', 'bisa', 'di', 'reakt'];dibuat bingung ya kak terkait reaktivasi kartu nomor yang udah melewatkan masa tenggang bisa di reakt
29;29;@nocrypt_ Maaf ya udah bikin gak nyaman :( Yuk infoin ke DM nomor HP sama detail kendala menerima SMS promo spam, b… https://t.co/rIJjmUzu6p;_ maaf ya udah bikin gak nyaman yuk infoin ke dm nomor hp sama detail kendala menerima sms promo spam;['_', 'maaf', 'ya', 'udah', 'bikin', 'gak', 'nyaman', 'yuk', 'infoin', 'ke', 'dm', 'nomor', 'hp', 'sama', 'detail', 'kendala', 'menerima', 'sms', 'promo', 'spam'];['_', 'maaf', 'ya', 'udah', 'bikin', 'gak', 'nyaman', 'yuk', 'infoin', 'ke', 'dm', 'nomor', 'hp', 'sama', 'detail', 'kendala', 'menerima', 'sms', 'promo', 'spam'];_ maaf ya udah bikin gak nyaman yuk infoin ke dm nomor hp sama detail kendala menerima sms promo spam
