TIDAK BAKU;BAKU
tgl;tanggal
sbagai;sebagai
menbuat;membuat
taekkkk;tahi
uda;sudah
jadul;kuno
mgkin;mungkin
urgent;darurat
euy;kawan
antri;antre
fikiran;pikiran
kebinekaan;kebhinekaan
millenial;milenial
riil;nyata
menterwujutkan;mewujudkan
beliay;beliau
naikin;menaikkan
teruss;terus
pa;pak
maz;mas 
kebijakanya;kebijakannya
yunior;junior
ri;di
selqnjutnya;selanjutnya
kpd;kepada
diterapin;diterapkan
anin;semoga
concern;fokus
mantappp;bagus
keliru;salah
mampus;rasakan
gue;saya
bayangin;bayangkan
sya;saya
stir;setir
keburu;tergesa
sikon;situasi
matkul;materi
mulu ;terus
fotocopi;fotokopi
ngikat;mengikat
jangam;jangan
alhamdulilah;syukur
ngetik;mengetik
buatin;buatkan
hrus;harus
nntinya;nantinya
seharusnyaa;seharusnya
tu;itu
krg;kurang
kmpus;kampus
aj;saja
berfikiran;berpikiran
hny;hanya
mangaknya;jadi 
sebenernnya;sebenarnya
murahin;murahkan
step;langkah
stelah;setelah
komptensinya;kompetensinya
gapapa;baik 
kul ;kalau
cm;cuma
sja;saja
smpe;sampai
thn;tahun
br ;baru
prusahaan;perusahaan
ngebiayain;membiayai
manfaatin;memanfaatkan
berfikir ;berpikir 
astagaa;astaga
dpt;dapat 
ancurr;hancur
santuy;santai
ente;kamu
minus;kurang
gimik;sandiwara
bangke;tahi
gembargembor;heboh
yaa;iya
ya ;iya
soale;karena
mending;baiknya
indoensia;indonesia
netizen;komentator
stakeholder;mitra
stakeholdernya;mitranya
international;internasional
temen;teman
kirain;prasangka
wsaktu;waktu
too;kan
projek;proyek
sembrono;sembarangan
channel;saluran
chanel;saluran
maantaapp;baik
jos;baik
nengoknya;lihatnya
full;penuh
direalisaskkan;direalisasikan
indo ;indonesia
bersihin;bersihkan
mkan;makan
diliat;dilihat
plus;lebih
minus;kurang
nganterin;mengantarkan
bkerja;bekerja
blajar;belajar
udeh;sudah
recokin;ganggu
ditambahin;ditambahkan
kemamampuannya;kemampuannya
ngerjain;mengerjakan
mestixnya;seharusnya
duh;aduh
kul;kuliah
mikirin;memikirkan
dipraktekkan;dipraktikkan
perencanannya;perencanaannya
beres;selesai
gerakin;menggerakkan
kesetaran;kesetaraan
uia;usia
programmnya;programnya
dapet;mendapat
nuntut;menuntut
becus;baik
gimana;bagaimana
kasian;kasihan
pelaksanannya;pelaksanaannya
pemerinth;pemerintah
revoluisioner;revolusioner
ngerjainnya;mengerjakannya
dipake;dipakai
mksd;maksud
mksdnya;maksudnya
mangat;semangat
pesen;pesan
istimewahhhhhh;istimewa
mhasw;mahasiswa
